City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
149,Mushie,-3.0167,16.9,74.14,90,100,0.76,overcast clouds,CD,2021-12-04 20:11:28
150,Acari,-15.4311,-74.6158,79.2,57,42,10.85,scattered clouds,PE,2021-12-04 20:16:00
151,Basco,20.4487,121.9702,73.11,67,100,25.79,overcast clouds,PH,2021-12-04 20:16:00
152,Teknaf,20.8624,92.3058,74.8,67,100,3.06,overcast clouds,BD,2021-12-04 20:16:01
153,Ust-Kuyga,70.0167,135.6,-39.21,95,98,7.85,overcast clouds,RU,2021-12-04 20:16:01
154,Katsuura,35.1333,140.3,47.19,58,4,13.47,clear sky,JP,2021-12-04 20:16:02
155,Georgetown,5.4112,100.3354,79.9,81,20,1.99,few clouds,MY,2021-12-04 20:15:24
156,Svetlogorsk,52.6333,29.7333,29.16,84,100,9.51,overcast clouds,BY,2021-12-04 20:16:02
157,Puerto Ayora,-0.7393,-90.3518,75.16,82,59,9.26,broken clouds,EC,2021-12-04 20:16:02
158,Taoudenni,22.6783,-3.9836,63.1,22,0,11.36,clear sky,ML,2021-12-04 20:09:51
159,Labuhan,-6.8844,112.2051,77.43,84,100,12.12,moderate rain,ID,2021-12-04 20:15:01
160,Clyde River,70.4692,-68.5914,10.29,86,100,13.2,overcast clouds,CA,2021-12-04 20:06:14
161,San Carlos,9.6612,-68.5827,89.33,49,88,3.4,overcast clouds,VE,2021-12-04 20:16:03
162,Kabalo,-6.05,26.9167,73.09,80,1,3.04,clear sky,CD,2021-12-04 20:16:03
163,Erdenet,49.0333,104.0833,20.43,48,50,4.99,scattered clouds,MN,2021-12-04 20:16:03
164,Sao Filipe,14.8961,-24.4956,76.03,71,100,7.27,overcast clouds,CV,2021-12-04 20:11:48
165,Nabire,-3.3667,135.4833,75.72,93,100,4.0,overcast clouds,ID,2021-12-04 20:16:04
166,Pulaski,34.7668,-92.3001,66.24,79,90,5.99,overcast clouds,US,2021-12-04 20:13:28
167,Scarborough,54.2797,-0.4044,38.77,88,99,1.01,overcast clouds,GB,2021-12-04 20:15:36
168,Half Moon Bay,37.4636,-122.4286,61.75,77,20,4.0,few clouds,US,2021-12-04 20:14:02
169,Port Hedland,-20.3167,118.5667,80.65,61,43,10.36,scattered clouds,AU,2021-12-04 20:15:16
170,Victoria,22.2855,114.1577,66.25,68,98,1.99,overcast clouds,HK,2021-12-04 20:13:59
171,Karwar,14.8,74.1333,75.04,88,40,4.92,scattered clouds,IN,2021-12-04 20:16:05
172,Cockburn Town,21.4612,-71.1419,79.61,76,52,20.74,broken clouds,TC,2021-12-04 20:16:05
173,Rio Grande,-32.035,-52.0986,75.31,78,91,15.3,overcast clouds,BR,2021-12-04 20:16:05
174,Baracoa,20.3467,-74.4958,79.36,80,90,8.75,overcast clouds,CU,2021-12-04 20:16:05
